Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1211,24,08/04/2023 02:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
1212,24,08/04/2023 02:30,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,
1213,24,08/04/2023 19:30,Vivint Arena,Utah Jazz,Denver Nuggets,
1214,24,08/04/2023 20:00,Moody Center,San Antonio Spurs,Minnesota Timberwolves,
1215,24,08/04/2023 20:00,Crypto.com Arena,LA Clippers,Portland Trail Blazers,
1216,24,09/04/2023 17:00,TD Garden,Boston Celtics,Atlanta Hawks,
1217,24,09/04/2023 17:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
1218,24,09/04/2023 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,
1219,24,09/04/2023 17:00,Miami-Dade Arena,Miami Heat,Orlando Magic,
1220,24,09/04/2023 17:00,Madison Square Garden,New York Knicks,Indiana Pacers,
1221,24,09/04/2023 17:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
1222,24,09/04/2023 17:00,Capital One Arena,Washington Wizards,Houston Rockets,
1223,24,09/04/2023 17:00,United Center,Chicago Bulls,Detroit Pistons,
1224,24,09/04/2023 19:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,
1225,24,09/04/2023 19:30,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
1226,24,09/04/2023 19:30,Paycom Center,Oklahoma City Thunder,Memphis Grizzlies,
1227,24,09/04/2023 19:30,Ball Arena,Denver Nuggets,Sacramento Kings,
1228,24,09/04/2023 19:30,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,
1229,24,09/04/2023 19:30,Footprint Center,Phoenix Suns,LA Clippers,
1230,24,09/04/2023 19:30,Moda Center,Portland Trail Blazers,Golden State Warriors,
